time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-08-08 05:37:00,56935.09,56906.93,56906.93,9.48,539630.96,56930.22,direct,
2024-08-08 05:38:00,56945.31,56916.55,56930.22,6.846,389739.72,56922.71,direct,
2024-08-08 05:39:00,56949.07,56922.46,56922.71,7.958,453122.73,56947.67,direct,
2024-08-08 05:40:00,56953.43,56896.2,56947.67,12.11,689322.26,56896.2,direct,
2024-08-08 05:41:00,56910.59,56882.84,56896.2,7.64,434670.79,56905.71,direct,
2024-08-08 05:42:00,56983.74,56905.71,56905.71,11.28,642714.14,56983.14,direct,
2024-08-08 05:43:00,57001.61,56972.13,56983.14,8.212,468041.8,56972.13,direct,
2024-08-08 05:44:00,56972.13,56943.77,56972.13,5.308,302288.3,56958.73,direct,
2024-08-08 05:45:00,56990.31,56952.42,56958.73,9.244,526646.23,56957.62,direct,
2024-08-08 05:46:00,56957.62,56893.7,56957.62,9.677,550831.37,56917.95,direct,
2024-08-08 05:47:00,56949.96,56912.01,56917.95,8.668,493492.37,56937.45,direct,
2024-08-08 05:48:00,56988.37,56933.44,56937.45,18.38,1046757.82,56984.01,direct,
2024-08-08 05:49:00,56987.93,56969.74,56984.01,6.586,375303.51,56972.79,direct,
2024-08-08 05:50:00,56990.83,56961.94,56972.79,7.326,417422.88,56972.63,direct,
2024-08-08 05:51:00,56975.54,56925.59,56972.63,6.286,357946.97,56937.17,direct,
2024-08-08 05:52:00,56965.47,56927.04,56937.17,3.785,215563.19,56964.72,direct,
2024-08-08 05:53:00,56977.87,56955.72,56964.72,11.32,645075.74,56974.19,direct,
2024-08-08 05:54:00,56974.21,56934.6,56974.19,6.747,384221.03,56947.16,direct,
2024-08-08 05:55:00,56967.65,56947.16,56947.16,5.5,313265.57,56961.12,direct,
2024-08-08 05:56:00,56970.72,56955.66,56961.12,4.364,248593.16,56965.77,direct,
2024-08-08 05:57:00,56985.59,56961.31,56965.77,5.35,304760.85,56973.15,direct,
2024-08-08 05:58:00,57014.13,56972.43,56973.15,14.06,801784.53,57008.56,direct,
2024-08-08 05:59:00,57023.98,56984.77,57008.56,8.496,484419.0,56985.07,direct,
2024-08-08 06:00:00,57011.0,56984.94,56985.07,7.769,443033.8,57008.12,direct,
2024-08-08 06:01:00,57012.79,56980.1,57008.12,7.346,418686.76,56982.07,direct,
2024-08-08 06:02:00,56985.12,56855.1,56982.07,31.47,1790964.47,56855.1,direct,
2024-08-08 06:03:00,56875.08,56826.1,56855.1,16.33,928371.38,56872.4,direct,
2024-08-08 06:04:00,56913.33,56862.36,56872.4,14.66,834297.52,56913.33,direct,
2024-08-08 06:05:00,56945.92,56900.52,56913.33,10.38,590984.36,56913.45,direct,
2024-08-08 06:06:00,56948.3,56907.76,56913.45,16.0,910547.68,56943.25,direct,
2024-08-08 06:07:00,56959.4,56908.15,56943.25,28.99,1650829.92,56947.83,direct,
2024-08-08 06:08:00,56950.14,56858.09,56947.83,11.05,628415.85,56873.91,direct,
2024-08-08 06:09:00,56934.77,56859.38,56873.91,28.73,1634325.91,56928.36,direct,
2024-08-08 06:10:00,56928.36,56886.21,56928.36,11.45,651346.63,56894.3,direct,
2024-08-08 06:11:00,56915.05,56889.77,56894.3,4.892,278382.52,56906.19,direct,
2024-08-08 06:12:00,56942.47,56901.81,56906.19,7.556,430057.17,56905.29,direct,
2024-08-08 06:13:00,56946.99,56903.35,56905.29,14.61,831542.32,56946.99,direct,
2024-08-08 06:14:00,56974.92,56946.66,56946.99,7.815,445125.26,56965.33,direct,
2024-08-08 06:15:00,56985.98,56955.55,56965.33,9.89,563472.66,56962.95,direct,
2024-08-08 06:16:00,56987.64,56962.95,56962.95,3.705,211121.73,56985.93,direct,
2024-08-08 06:17:00,57073.62,56985.76,56985.93,19.78,1128643.98,57058.24,direct,
2024-08-08 06:18:00,57118.06,57047.77,57058.24,14.92,851655.91,57105.72,direct,
2024-08-08 06:19:00,57155.78,57099.13,57105.72,46.79,2673577.17,57110.52,direct,
2024-08-08 06:20:00,57132.34,57102.06,57110.52,14.69,839106.4,57131.96,direct,
2024-08-08 06:21:00,57133.12,57104.79,57131.96,9.34,533444.02,57105.04,direct,
2024-08-08 06:22:00,57114.98,57084.45,57105.04,13.02,743287.11,57092.89,direct,
2024-08-08 06:23:00,57100.57,57079.51,57092.89,8.522,486508.71,57088.28,direct,
2024-08-08 06:24:00,57145.04,57088.28,57088.28,11.67,666675.76,57144.21,direct,
2024-08-08 06:25:00,57160.85,57141.14,57144.21,28.12,1607313.95,57157.22,direct,
2024-08-08 06:26:00,57164.17,57133.48,57157.22,13.65,779913.65,57143.47,direct,
2024-08-08 06:27:00,57163.24,57141.72,57143.47,10.19,582397.85,57154.99,direct,
2024-08-08 06:28:00,57161.18,57149.63,57154.99,5.731,327520.74,57155.6,direct,
2024-08-08 06:29:00,57177.71,57155.33,57155.6,11.78,673710.99,57170.64,direct,
2024-08-08 06:30:00,57183.2,57164.7,57170.64,12.58,719541.17,57168.67,direct,
2024-08-08 06:31:00,57175.86,57117.58,57168.67,9.314,532197.41,57128.67,direct,
2024-08-08 06:32:00,57150.51,57110.43,57128.67,9.025,515559.67,57138.98,direct,
